term,heading_occurrences
issue,555
output,408
analysis,376
test,363
guidelines,339
check,310
report,299
review,290
create,285
update,281
agent,275
data,270
issues,250
format,220
pull,208
documentation,190
request,187
mission,183
changes,175
code,174
analyze,170
description,165
read,162
memory,161
triage,152
quality,152
comment,147
file,146
cache,146
files,141
load,140
run,140
identify,139
generate,136
daily,134
security,131
constraints,118
fix,116
model,112
instructions,104
release,104
build,101
open,100
safe,97
validation,97
success,96
discussion,95
detection,93
validate,88
apply,86
determine,86
state,85
fetch,83
findings,82
smoke,81
audit,80
results,79
gather,77
body,76
mode,76
patterns,74
comments,72
tests,72
recent,72
existing,71
tool,71
usage,68
post,66
failure,66
ci,65
verify,64
write,64
duplicate,63
testing,63
coverage,61
investigation,61
mcp,60
source,58
handling,58
setup,58
prs,58
outputs,57
scan,57
guardrails,56
style,55
metrics,55
improvements,54
implementation,54
research,53
error,53
change,52
extract,52
agentic,52
strategy,52
focus,52
pattern,51
recommendations,51
handle,51
select,51
configuration,51
status,50
version,50
submit,50
mandatory,50
edge,50
pre-fetched,49
small,49
copilot,49
one,48
collect,48
skip,47
classify,47
draft,46
weekly,46
changed,46
cases,46
classification,45
performance,45
tools,45
branch,44
decision,44
budget,44
dependency,43
reporting,43
parse,42
type,42
skill,42
noop,42
cli,42
plan,41
upstream,41
project,41
chart,41
checks,41
efficiency,41
category,41
compare,40
priority,40
first,40
api,40
python,40
reviewer,40
updates,39
package,39
gathering,39
consistency,39
contract,39
hard,38
formatting,38
activity,38
historical,38
logs,38
gaps,37
health,37
verification,37
guard,37
available,37
trigger,36
selection,36
execution,36
gate,36
opportunities,36
discover,35
commit,35
docs,35
failures,35
procedure,35
previous,34
case,34
final,34
root,34
requests,34
command,34
improvement,34
evidence,34
title,34
deep,34
generator,34
optimization,34
policy,33
standards,33
drift,33
cause,33
engine,33
collection,33
runtime,33
inline,33
section,32
critical,32
sync,32
enforcement,32
needed,32
search,31
add,31
checklist,31
reference,31
log,31
charts,31
suggested,31
implement,31
target,31
missing,30
checker,30
per,30
safety,30
references,30
time,30
serena,30
impact,29
trend,29
improver,29
creation,29
refactoring,29
runs,28
rule,28
detect,28
parent,28
response,27
evaluation,27
environment,27
work,27
next,27
protocol,27
exit,27
decide,27
doctor,27
token,27
history,27
save,26
json,26
metadata,26
tasks,26
duplicates,26
pipeline,26
list,26
best,26
fixes,25
tracking,25
filter,25
dependencies,25
job,25
close,25
specific,25
updater,25
wiki,25
area,24
versions,24
already,24
fixer,24
understand,24
investigate,24
management,24
completion,24
assessment,24
requirement,24
schema,24
conditions,24
lines,24
overview,24
