label,reference_positive,predicted_positive,tp,tn,fp,fn,agreement,kappa,precision,recall,f1
CONTEXT:Domain Context,98,163,86,113,77,12,0.6909722222222222,0.406941230911615,0.5276073619631901,0.8775510204081632,0.6590038314176245
EVALUATION:Rule Conformance,136,113,83,122,30,53,0.7118055555555556,0.4166341272940258,0.7345132743362832,0.6102941176470589,0.6666666666666666
OUTPUT:Control Signal,150,168,123,93,45,27,0.75,0.4965034965034965,0.7321428571428571,0.82,0.7735849056603774
EXAMPLE:Technical Snippet,87,140,80,141,60,7,0.7673611111111112,0.5295494441193681,0.5714285714285714,0.9195402298850575,0.7048458149779736
CONTEXT:Historical Context,24,56,8,216,48,16,0.7777777777777778,0.09433962264150941,0.14285714285714285,0.3333333333333333,0.2
CONTEXT:Repository Context,202,216,177,47,39,25,0.7777777777777778,0.44347826086956527,0.8194444444444444,0.8762376237623762,0.84688995215311
CONTEXT:Execution Environment,98,123,79,146,44,19,0.78125,0.541122913505311,0.6422764227642277,0.8061224489795918,0.7149321266968326
PROCESS:Within-Run Iteration,103,140,90,135,50,13,0.78125,0.5590122496597316,0.6428571428571429,0.8737864077669902,0.7407407407407407
RESOURCE:Local Workspace,166,213,158,67,55,8,0.78125,0.5279425538557602,0.7417840375586855,0.9518072289156626,0.8337730870712401
EVALUATION:Risk Assessment,86,61,44,185,17,42,0.7951388888888888,0.4663986936314532,0.7213114754098361,0.5116279069767442,0.5986394557823129
TASK:Evidence Investigation,149,184,141,96,43,8,0.8229166666666666,0.6423841059602649,0.7663043478260869,0.9463087248322147,0.8468468468468469
RESOURCE:GitHub Interface,174,174,149,89,25,25,0.8263888888888888,0.6370235934664246,0.8563218390804598,0.8563218390804598,0.8563218390804598
COMMUNICATION:Automation Disclosure,72,56,40,200,16,32,0.8333333333333334,0.5200000000000001,0.7142857142857143,0.5555555555555556,0.625
CONSTRAINT:Quality Standard,215,217,192,48,25,23,0.8333333333333334,0.555584131678776,0.8847926267281107,0.8930232558139535,0.8888888888888888
CONSTRAINT:Scope Boundary,221,207,191,51,16,30,0.8402777777777778,0.5830028328611898,0.9227053140096618,0.8642533936651584,0.8925233644859814
EXAMPLE:Worked Case,56,71,41,202,30,15,0.84375,0.5472330911123532,0.5774647887323944,0.7321428571428571,0.6456692913385826
RESOURCE:Agent Resource,62,47,32,211,15,30,0.84375,0.49303708339852925,0.6808510638297872,0.5161290322580645,0.5871559633027523
CONSTRAINT:Evidence Grounding,104,112,86,158,26,18,0.8472222222222222,0.6743421052631579,0.7678571428571429,0.8269230769230769,0.7962962962962963
CONSTRAINT:Resource Budget,110,126,97,149,29,13,0.8541666666666666,0.699463327370304,0.7698412698412699,0.8818181818181818,0.8220338983050848
EVALUATION:Evidence Credibility,32,28,12,240,16,20,0.875,0.3305785123966944,0.42857142857142855,0.375,0.4
SAFETY:Execution Isolation,40,38,22,232,16,18,0.8819444444444444,0.4958813838550245,0.5789473684210527,0.55,0.5641025641025641
EXAMPLE:Output Template,176,201,172,83,29,4,0.8854166666666666,0.7487309644670049,0.8557213930348259,0.9772727272727273,0.9124668435013262
COMMUNICATION:Expert Role,135,149,126,130,23,9,0.8888888888888888,0.7782589865742745,0.8456375838926175,0.9333333333333333,0.8873239436619719
EVALUATION:Execution Check,74,66,54,202,12,20,0.8888888888888888,0.6983503534956794,0.8181818181818182,0.7297297297297297,0.7714285714285715
TASK:Artifact Review,72,57,51,210,6,21,0.90625,0.7313432835820896,0.8947368421052632,0.7083333333333334,0.7906976744186046
TASK:Work Item Management,50,63,43,218,20,7,0.90625,0.7037037037037037,0.6825396825396826,0.86,0.7610619469026548
COMMUNICATION:Audience Voice,58,58,45,217,13,13,0.9097222222222222,0.7193403298350823,0.7758620689655172,0.7758620689655172,0.7758620689655172
PROCESS:Cross-Run Memory,52,73,50,213,23,2,0.9131944444444444,0.7465502675302731,0.684931506849315,0.9615384615384616,0.8
TASK:Executable Validation,60,76,56,208,20,4,0.9166666666666666,0.7699680511182108,0.7368421052631579,0.9333333333333333,0.8235294117647058
PROCESS:Required Sequence,254,256,244,22,12,10,0.9236111111111112,0.6235741444866921,0.953125,0.9606299212598425,0.9568627450980393
