label,reference_positive,predicted_positive,tp,tn,fp,fn,agreement,kappa,precision,recall,f1
EVALUATION:Rule Conformance,136,113,79,118,34,57,0.6840277777777778,0.3604060913705584,0.6991150442477876,0.5808823529411765,0.6345381526104418
CONTEXT:Domain Context,98,167,88,111,79,10,0.6909722222222222,0.4119482426355877,0.5269461077844312,0.8979591836734694,0.6641509433962264
CONTEXT:Execution Environment,98,140,81,131,59,17,0.7361111111111112,0.4674970805760998,0.5785714285714286,0.826530612244898,0.680672268907563
PROCESS:Within-Run Iteration,103,154,92,123,62,11,0.7465277777777778,0.5028847063274379,0.5974025974025974,0.8932038834951457,0.7159533073929961
EXAMPLE:Technical Snippet,87,144,80,137,64,7,0.7534722222222222,0.5069444444444444,0.5555555555555556,0.9195402298850575,0.6926406926406926
RESOURCE:Local Workspace,166,220,158,60,62,8,0.7569444444444444,0.47125472093999154,0.7181818181818181,0.9518072289156626,0.8186528497409327
RESOURCE:GitHub Interface,174,231,168,51,63,6,0.7604166666666666,0.45183714001986086,0.7272727272727273,0.9655172413793104,0.8296296296296296
OUTPUT:Control Signal,150,172,129,95,43,21,0.7777777777777778,0.5519253208868145,0.75,0.86,0.8012422360248447
TASK:Evidence Investigation,149,195,140,84,55,9,0.7777777777777778,0.5500219715834188,0.717948717948718,0.9395973154362416,0.813953488372093
CONTEXT:Repository Context,202,232,187,41,45,15,0.7916666666666666,0.44728761514841336,0.8060344827586207,0.9257425742574258,0.8617511520737328
EVALUATION:Risk Assessment,86,64,46,184,18,40,0.7986111111111112,0.481113320079523,0.71875,0.5348837209302325,0.6133333333333333
CONTEXT:Historical Context,24,57,12,219,45,12,0.8020833333333334,0.20279720279720279,0.21052631578947367,0.5,0.2962962962962963
CONSTRAINT:Evidence Grounding,104,89,70,165,19,34,0.8159722222222222,0.588260681916271,0.7865168539325843,0.6730769230769231,0.7253886010362695
COMMUNICATION:Automation Disclosure,72,55,38,199,17,34,0.8229166666666666,0.4874371859296482,0.6909090909090909,0.5277777777777778,0.5984251968503937
