label,reference_positive,predicted_positive,tp,tn,fp,fn,agreement,kappa,precision,recall,f1
EVALUATION:Rule Conformance,136,105,71,118,34,65,0.65625,0.3019976498237368,0.6761904761904762,0.5220588235294118,0.5892116182572614
CONTEXT:Domain Context,98,157,86,119,71,12,0.7118055555555556,0.43976750726539804,0.5477707006369427,0.8775510204081632,0.6745098039215687
OUTPUT:Control Signal,150,162,116,92,46,34,0.7222222222222222,0.44153577661431065,0.7160493827160493,0.7733333333333333,0.7435897435897436
EXAMPLE:Technical Snippet,87,135,76,142,59,11,0.7569444444444444,0.5015576323987538,0.562962962962963,0.8735632183908046,0.6846846846846847
RESOURCE:Local Workspace,166,215,156,63,59,10,0.7604166666666666,0.4817982684885782,0.7255813953488373,0.9397590361445783,0.8188976377952756
PROCESS:Within-Run Iteration,103,143,90,132,53,13,0.7708333333333334,0.5407586373520175,0.6293706293706294,0.8737864077669902,0.7317073170731707
CONTEXT:Historical Context,24,54,9,219,45,15,0.7916666666666666,0.13043478260869562,0.16666666666666666,0.375,0.23076923076923078
CONTEXT:Repository Context,202,222,183,47,39,19,0.7986111111111112,0.48482605477424146,0.8243243243243243,0.905940594059406,0.8632075471698113
EVALUATION:Risk Assessment,86,58,43,187,15,43,0.7986111111111112,0.4696469392938787,0.7413793103448276,0.5,0.5972222222222222
TASK:Evidence Investigation,149,179,136,96,43,13,0.8055555555555556,0.6078011769855552,0.7597765363128491,0.912751677852349,0.8292682926829268
CONSTRAINT:Scope Boundary,221,202,185,50,17,36,0.8159722222222222,0.5309157959434542,0.9158415841584159,0.8371040723981901,0.8747044917257684
CONSTRAINT:Evidence Grounding,104,115,84,153,31,20,0.8229166666666666,0.6248467511238249,0.7304347826086957,0.8076923076923077,0.7671232876712328
CONTEXT:Execution Environment,98,117,82,155,35,16,0.8229166666666666,0.6232686980609418,0.7008547008547008,0.8367346938775511,0.7627906976744186
COMMUNICATION:Automation Disclosure,72,58,40,198,18,32,0.8263888888888888,0.5049504950495047,0.6896551724137931,0.5555555555555556,0.6153846153846154
RESOURCE:GitHub Interface,174,177,152,89,25,22,0.8368055555555556,0.6572470373746582,0.8587570621468926,0.8735632183908046,0.8660968660968661
CONSTRAINT:Quality Standard,215,224,197,46,27,18,0.84375,0.5696068012752391,0.8794642857142857,0.9162790697674419,0.89749430523918
